35:*******************************************,
Transient Analysis,
Mon Nov 14 20:39:55 2022,
Input file: \\tsclient\C\Users\espen\Repositories\TFE4152\TFE4152-Memory-Array\AIM-Spice\bitcell_nor.cir,
time [sec],v(vdd) [V],v(out) [V],
1.04763e-08,0.45,5.81633e-09,
1.04773e-08,0.45,9.48405e-09,
1.04783e-08,0.45,5.22973e-09,
1.04793e-08,0.45,9.79294e-09,
1.04803e-08,0.45,6.42949e-09,
1.04813e-08,0.45,1.02672e-08,
1.04823e-08,0.45,5.80253e-09,
1.04833e-08,0.45,1.03259e-08,
1.04843e-08,0.45,6.88054e-09,
1.04853e-08,0.45,1.12462e-08,
1.04863e-08,0.45,7.80476e-09,
1.04873e-08,0.45,7.34279e-09,
1.04883e-08,0.45,1.61949e-09,
1.04893e-08,0.45,1.28228e-09,
1.04903e-08,0.45,2.57272e-09,
1.04913e-08,0.45,9.12777e-09,
1.04923e-08,0.45,1.04034e-08,
1.04933e-08,0.45,1.56108e-08,
1.04943e-08,0.45,1.61124e-08,
1.04953e-08,0.45,2.09883e-08,
1.04963e-08,0.45,2.13283e-08,
1.04973e-08,0.45,2.36223e-08,
1.04983e-08,0.45,2.32762e-08,
1.04993e-08,0.45,2.56597e-08,
1.05003e-08,0.45,9.51213e-09,
1.05013e-08,0.45,2.49762e-09,
1.05023e-08,0.45,-1.38724e-08,
1.05033e-08,0.45,-2.01838e-08,
1.05043e-08,0.45,-3.26124e-08,
1.05053e-08,0.45,-3.83119e-08,
1.05063e-08,0.45,-4.92417e-08,
1.05073e-08,0.45,-5.41338e-08,
1.05083e-08,0.45,-6.50792e-08,
1.05093e-08,0.45,-1.95065e-08,
1.05103e-08,0.45,-4.10026e-09,
1.05113e-08,0.45,2.8036e-09,
1.05123e-08,0.45,3.30292e-09,
1.05133e-08,0.45,1.23862e-08,
1.05143e-08,0.45,1.27148e-08,
1.05153e-08,0.45,2.26691e-08,
1.05163e-08,0.45,1.15023e-08,
1.05173e-08,0.45,1.00944e-08,
1.05183e-08,0.45,-1.11095e-09,
1.05193e-08,0.45,-2.90373e-09,
1.05203e-08,0.45,-1.27144e-08,
1.05213e-08,0.45,-1.48073e-08,
1.05223e-08,0.45,-2.53492e-08,
1.05233e-08,0.45,-2.86496e-08,
1.05243e-08,0.45,-3.84625e-08,
1.05253e-08,0.45,-4.22824e-08,
1.05263e-08,0.45,-1.01105e-08,
1.05273e-08,0.45,1.32061e-09,
1.05283e-08,0.45,4.83761e-09,
1.05293e-08,0.45,1.68999e-08,
1.05303e-08,0.45,2.02826e-08,
1.05313e-08,0.45,2.83485e-08,
1.05323e-08,0.45,3.11301e-08,
1.05333e-08,0.45,3.91576e-08,
1.05343e-08,0.45,1.78548e-08,
1.05353e-08,0.45,1.17837e-08,
1.05363e-08,0.45,-3.38049e-09,
1.05373e-08,0.45,5.81545e-09,
1.05383e-08,0.45,6.78034e-09,
1.05393e-08,0.45,1.57859e-08,
1.05403e-08,0.45,1.69836e-08,
1.05413e-08,0.45,3.04766e-08,
1.05423e-08,0.45,3.17461e-08,
1.05433e-08,0.45,4.52381e-08,
1.05443e-08,0.45,4.66935e-08,
1.05453e-08,0.45,6.01368e-08,
1.05463e-08,0.45,6.15703e-08,
1.05473e-08,0.45,7.05363e-08,
1.05483e-08,0.45,7.19007e-08,
1.05493e-08,0.45,8.09078e-08,
1.05503e-08,0.45,8.59354e-08,
1.05513e-08,0.45,9.52105e-08,
1.05523e-08,0.45,1.00349e-07,
1.05533e-08,0.45,4.64397e-08,
1.05543e-08,0.45,2.60025e-08,
1.05553e-08,0.45,1.7054e-08,
1.05563e-08,0.45,1.06589e-08,
1.05573e-08,0.45,8.84436e-09,
1.05583e-08,0.45,6.71882e-09,
1.05593e-08,0.45,1.11971e-08,
1.05603e-08,0.45,8.70697e-09,
1.05613e-08,0.45,1.21767e-08,
1.05623e-08,0.45,9.77187e-09,
1.05633e-08,0.45,1.33331e-08,
1.05643e-08,0.45,1.04101e-08,
1.05653e-08,0.45,1.33378e-08,
1.05663e-08,0.45,9.93943e-09,
1.05673e-08,0.45,1.35544e-08,
1.05683e-08,0.45,1.06853e-08,
1.05693e-08,0.45,1.10431e-08,
1.05703e-08,0.45,7.5508e-09,
1.05713e-08,0.45,5.38959e-09,
1.05723e-08,0.45,4.52482e-09,
1.05733e-08,0.45,7.14653e-09,
1.05743e-08,0.45,4.57428e-09,
1.05753e-08,0.45,7.49455e-09,
1.05763e-08,0.45,8.27054e-09,
1.05773e-08,0.45,7.45296e-09,
1.05783e-08,0.45,9.26603e-09,
1.05793e-08,0.45,9.17065e-09,
1.05803e-08,0.45,8.94234e-09,
1.05813e-08,0.45,1.19606e-08,
1.05823e-08,0.45,1.27272e-08,
1.05833e-08,0.45,9.82908e-09,
1.05843e-08,0.45,1.08296e-08,
1.05853e-08,0.45,1.21317e-08,
1.05863e-08,0.45,1.19168e-08,
1.05873e-08,0.45,1.33116e-08,
1.05883e-08,0.45,1.0567e-08,
1.05893e-08,0.45,9.47643e-09,
1.05903e-08,0.45,7.45769e-09,
1.05913e-08,0.45,6.27341e-09,
1.05923e-08,0.45,8.4596e-09,
1.05933e-08,0.45,7.4265e-09,
1.05943e-08,0.45,9.80536e-09,
1.05953e-08,0.45,9.87508e-09,
1.05963e-08,0.45,1.18012e-08,
1.05973e-08,0.45,1.20256e-08,
1.05983e-08,0.45,1.37971e-08,
1.05993e-08,0.45,1.40374e-08,
1.06003e-08,0.45,1.57939e-08,
1.06013e-08,0.45,1.60658e-08,
1.06023e-08,0.45,1.77331e-08,
1.06033e-08,0.45,1.73483e-08,
1.06043e-08,0.45,1.84234e-08,
1.06053e-08,0.45,1.84323e-08,
1.06063e-08,0.45,2.07343e-08,
1.06073e-08,0.45,2.02744e-08,
1.06083e-08,0.45,2.14338e-08,
1.06093e-08,0.45,2.09343e-08,
1.06103e-08,0.45,2.22992e-08,
1.06113e-08,0.45,2.23372e-08,
1.06123e-08,0.45,2.31988e-08,
1.06133e-08,0.45,2.31354e-08,
1.06143e-08,0.45,1.05691e-08,
1.06153e-08,0.45,1.18012e-08,
1.06163e-08,0.45,9.42257e-09,
1.06173e-08,0.45,1.06945e-08,
1.06183e-08,0.45,1.2654e-08,
1.06193e-08,0.45,1.14123e-08,
1.06203e-08,0.45,9.21545e-09,
1.06213e-08,0.45,1.2211e-08,
1.06223e-08,0.45,1.34019e-08,
1.06233e-08,0.45,1.49195e-08,
1.06243e-08,0.45,1.19129e-08,
1.06253e-08,0.45,1.59211e-08,
1.06263e-08,0.45,1.56259e-08,
1.06273e-08,0.45,1.8344e-08,
