26:*******************************************,
Transient Analysis,
Mon Nov 14 20:23:51 2022,
Input file: \\tsclient\C\Users\espen\Repositories\TFE4152\TFE4152-Memory-Array\AIM-Spice\bitcell_nor.cir,
time [sec],v(vdd) [V],i(vdd1) [A],
1.03963e-08,0.45,-7.02279e-09,
1.03973e-08,0.45,6.58986e-09,
1.03983e-08,0.45,-7.09308e-09,
1.03993e-08,0.45,6.87203e-09,
1.04003e-08,0.45,-7.23368e-09,
1.04013e-08,0.45,6.68775e-09,
1.04023e-08,0.45,-8.32343e-09,
1.04033e-08,0.45,7.35315e-09,
1.04043e-08,0.45,-7.94471e-09,
1.04053e-08,0.45,6.89715e-09,
1.04063e-08,0.45,-8.60402e-09,
1.04073e-08,0.45,7.46511e-09,
1.04083e-08,0.45,-8.34166e-09,
1.04093e-08,0.45,7.28321e-09,
1.04103e-08,0.45,-9.62893e-09,
1.04113e-08,0.45,8.63687e-09,
1.04123e-08,0.45,-8.51371e-09,
1.04133e-08,0.45,7.87388e-09,
1.04143e-08,0.45,-9.02395e-09,
1.04153e-08,0.45,8.4098e-09,
1.04163e-08,0.45,-8.82177e-09,
1.04173e-08,0.45,7.75455e-09,
1.04183e-08,0.45,-8.65696e-09,
1.04193e-08,0.45,8.88455e-09,
1.04203e-08,0.45,-7.79951e-09,
1.04213e-08,0.45,7.96559e-09,
1.04223e-08,0.45,-7.28935e-09,
1.04233e-08,0.45,8.30968e-09,
1.04243e-08,0.45,-7.35384e-09,
1.04253e-08,0.45,7.00718e-09,
1.04263e-08,0.45,-8.30855e-09,
1.04273e-08,0.45,7.37447e-09,
1.04283e-08,0.45,-8.54531e-09,
1.04293e-08,0.45,7.3415e-09,
1.04303e-08,0.45,-9.22253e-09,
1.04313e-08,0.45,8.14762e-09,
1.04323e-08,0.45,-8.83853e-09,
1.04333e-08,0.45,6.64012e-09,
1.04343e-08,0.45,-9.70945e-09,
1.04353e-08,0.45,7.61125e-09,
1.04363e-08,0.45,-9.29894e-09,
1.04373e-08,0.45,7.85887e-09,
1.04383e-08,0.45,-9.43097e-09,
1.04393e-08,0.45,8.47763e-09,
1.04403e-08,0.45,-7.77014e-09,
1.04413e-08,0.45,8.9966e-09,
1.04423e-08,0.45,-1.25396e-08,
1.04433e-08,0.45,9.53994e-09,
1.04443e-08,0.45,-1.15538e-08,
1.04453e-08,0.45,9.67583e-09,
1.04463e-08,0.45,-1.21999e-08,
1.04473e-08,0.45,9.74378e-09,
1.04483e-08,0.45,-1.11279e-08,
1.04493e-08,0.45,9.77565e-09,
1.04503e-08,0.45,-1.1843e-08,
1.04513e-08,0.45,9.70536e-09,
1.04523e-08,0.45,-1.09222e-08,
1.04533e-08,0.45,9.53023e-09,
1.04543e-08,0.45,-1.13392e-08,
1.04553e-08,0.45,9.8434e-09,
1.04563e-08,0.45,-1.03893e-08,
1.04573e-08,0.45,9.84172e-09,
1.04583e-08,0.45,-1.08029e-08,
1.04593e-08,0.45,1.01097e-08,
1.04603e-08,0.45,-1.00606e-08,
1.04613e-08,0.45,1.00174e-08,
1.04623e-08,0.45,-6.73304e-09,
1.04633e-08,0.45,1.19131e-08,
1.04643e-08,0.45,-9.44529e-09,
1.04653e-08,0.45,8.3356e-09,
1.04663e-08,0.45,-6.83283e-09,
1.04673e-08,0.45,9.4498e-09,
1.04683e-08,0.45,-2.28326e-09,
1.04693e-08,0.45,5.02855e-09,
1.04703e-08,0.45,-7.98527e-09,
1.04713e-08,0.45,9.24421e-09,
1.04723e-08,0.45,-2.08399e-09,
1.04733e-08,0.45,4.89448e-09,
1.04743e-08,0.45,-7.4342e-09,
1.04753e-08,0.45,9.9774e-09,
1.04763e-08,0.45,-1.85596e-09,
1.04773e-08,0.45,5.36288e-09,
1.04783e-08,0.45,-7.09558e-09,
1.04793e-08,0.45,9.72396e-09,
1.04803e-08,0.45,-1.52227e-09,
1.04813e-08,0.45,5.71762e-09,
1.04823e-08,0.45,-7.1503e-09,
1.04833e-08,0.45,9.52256e-09,
1.04843e-08,0.45,-1.82167e-09,
1.04853e-08,0.45,5.73587e-09,
1.04863e-08,0.45,-6.76644e-09,
1.04873e-08,0.45,1.01231e-08,
1.04883e-08,0.45,-1.34851e-09,
1.04893e-08,0.45,6.42069e-09,
1.04903e-08,0.45,-6.7587e-09,
1.04913e-08,0.45,1.00116e-08,
1.04923e-08,0.45,-1.23631e-09,
1.04933e-08,0.45,6.57033e-09,
1.04943e-08,0.45,-5.99682e-09,
1.04953e-08,0.45,1.00558e-08,
1.04963e-08,0.45,-1.55144e-09,
1.04973e-08,0.45,6.96662e-09,
1.04983e-08,0.45,-4.97959e-09,
1.04993e-08,0.45,1.07809e-08,
1.05003e-08,0.45,-1.76611e-09,
1.05013e-08,0.45,6.68411e-09,
1.05023e-08,0.45,-7.59895e-09,
1.05033e-08,0.45,1.05795e-08,
1.05043e-08,0.45,-3.36395e-09,
1.05053e-08,0.45,6.72101e-09,
1.05063e-08,0.45,-7.48079e-09,
1.05073e-08,0.45,1.01285e-08,
1.05083e-08,0.45,-3.15763e-09,
1.05093e-08,0.45,5.90918e-09,
1.05103e-08,0.45,-6.7291e-09,
1.05113e-08,0.45,9.20589e-09,
1.05123e-08,0.45,-2.55775e-09,
1.05133e-08,0.45,5.12361e-09,
1.05143e-08,0.45,-6.29145e-09,
1.05153e-08,0.45,8.86741e-09,
1.05163e-08,0.45,-2.74402e-09,
1.05173e-08,0.45,5.10581e-09,
1.05183e-08,0.45,-6.09886e-09,
1.05193e-08,0.45,8.68226e-09,
1.05203e-08,0.45,-2.44299e-09,
1.05213e-08,0.45,4.89624e-09,
1.05223e-08,0.45,-5.97184e-09,
1.05233e-08,0.45,8.51191e-09,
1.05243e-08,0.45,-2.5948e-09,
1.05253e-08,0.45,5.15149e-09,
1.05263e-08,0.45,-6.35051e-09,
1.05273e-08,0.45,8.81896e-09,
1.05283e-08,0.45,-1.77233e-09,
1.05293e-08,0.45,5.60143e-09,
1.05303e-08,0.45,-5.60799e-09,
1.05313e-08,0.45,8.66241e-09,
1.05323e-08,0.45,-1.26602e-09,
1.05333e-08,0.45,5.82579e-09,
1.05343e-08,0.45,-5.41427e-09,
1.05353e-08,0.45,8.7232e-09,
1.05363e-08,0.45,-1.52299e-09,
1.05373e-08,0.45,6.00702e-09,
1.05383e-08,0.45,-5.5036e-09,
1.05393e-08,0.45,8.37022e-09,
1.05403e-08,0.45,-1.66553e-09,
1.05413e-08,0.45,5.89008e-09,
1.05423e-08,0.45,-5.41301e-09,
1.05433e-08,0.45,8.62453e-09,
1.05443e-08,0.45,-1.54093e-09,
1.05453e-08,0.45,5.98886e-09,
1.05463e-08,0.45,-5.77502e-09,
1.05473e-08,0.45,8.32205e-09,
1.05483e-08,0.45,-2.28686e-09,
1.05493e-08,0.45,5.9765e-09,
1.05503e-08,0.45,-5.51811e-09,
1.05513e-08,0.45,8.60044e-09,
1.05523e-08,0.45,-2.09074e-09,
1.05533e-08,0.45,6.99696e-09,
1.05543e-08,0.45,-5.86004e-09,
1.05553e-08,0.45,7.22711e-09,
1.05563e-08,0.45,-4.25728e-09,
1.05573e-08,0.45,6.76493e-09,
1.05583e-08,0.45,-6.17727e-09,
1.05593e-08,0.45,6.04348e-09,
1.05603e-08,0.45,-4.56212e-09,
1.05613e-08,0.45,5.86001e-09,
1.05623e-08,0.45,-6.49681e-09,
1.05633e-08,0.45,6.15804e-09,
1.05643e-08,0.45,-4.76061e-09,
1.05653e-08,0.45,5.47229e-09,
1.05663e-08,0.45,-5.61818e-09,
1.05673e-08,0.45,5.69399e-09,
